word,machine,human,label
definitive,pataki,pataki,positive
verbosity,verbosity,àròyé,negative
charade,charade,ìsínjẹ,negative
affinity,ijora,ijora,positive
undo,tú,àìṣe,negative
mistrustfully,aigbagbọ,ṣìgbàgbọ́,negative
weaknesses,ailagbara,àìlágbára,negative
quibble,riri,ṣàròyé,negative
doctor,dokita,dokita,positive
advocacy,agbawi,agbawi,positive
lawlessness,arufin,ìrúfin,negative
brutalize,ṣe ìkà,ṣe ìkà,negative
obsolete,ti atijo,ti àtijọ́,negative
stunned,iyalẹnu,iyalẹnu,positive
ax,ake,akéé,negative
essential,pataki,pataki,positive
hate,ikorira,ìkórìíra,negative
banish,yọ kuro,yọ kuro,negative
impossible,soro,kò ṣeéṣe,negative
launch,ifilole,ifilole,positive
swelled,wú,wú,negative
inflammed,igbona,ìgbóná,negative
doom,ìparun,ìparun,negative
desire,ifẹ,ifẹ,positive
annoyances,ibanuje,Ìbínú,negative
cleaning,afọmọ,afọmọ,positive
morbid,aisan,àìlera,negative
monument,arabara,ohun iranti,positive
revoltingly,rogbodiyan,rògbòdìyàn,negative
whoa,ta,yà lẹ́nu,positive
baseless,ti ko ni ipilẹ,tí kò ní ìpìlẹ̀,negative
safety,ailewu,ailewu,positive
exceeded,ti kọja,ti kọja,positive
handicap,alaabo,aláàbọ-ara,negative
quarrels,ìjà,ìjà,negative
flickers,flickers,ìgbà péréte,negative
replete,kun,kun pada,positive
tower,ile -iṣọ,ile -iṣọ,positive
nemesis,nemesis,ọ̀tá,negative
cunning,arekereke,arekereke,positive
emeritus,emeritus,oyè ilé ẹ̀kọ́ gíga,positive
assault,ikọlu,ìkọlù,negative
ill-conceived,alaimọ-loyun,èrò búburú,negative
jagged,dòjé,ègé,negative
back-wood,igi-ẹhin,igi-ẹ̀hìn,negative
abuse,ilokulo,ìlòkudò,negative
downturns,downturns,ìrẹ̀wẹ̀sì,negative
materialism,ìfẹ́ ọrọ̀ àlùmọ́nì,ìfẹ-ọrọ̀,negative
mudslinger,mudslinger,afàbùkù kanni,negative
deletion,piparẹ,ìparẹ́,negative
maddening,aṣiwere,aṣiwèrè,negative
coffin,apoti,pósí,negative
lionhearted,kiniun,aifoya,positive
amnesia,amnesia,ìgbàgbé,negative
oracle,ororo,ibi idahun,positive
unspeakable,ti a ko le so,àìlèsọ,negative
priceless,ti ko ni idiyele,ti ko ni idiyele,positive
carcinoma,akàn,jẹjẹrẹ,negative
patient,alaisan,alaisan,positive
disgustful,ìríra,ìríra,negative
lowering,sokale,ìrẹ́lulẹ̀,negative
sue,bẹbẹ,pé lẹ́jọ́,negative
jaunty,oore,oore,positive
misuse,ilokulo,ìlòkulò,negative
clerical,alufaa,alufaa,positive
vacuous,ofo,òmùgọ̀,negative
diversion,iyipada,iyipada,positive
filibuster,filibuster,aṣòfin,negative
disconcert,disconcert,dàrú,negative
understandable,ni oye,ni oye,positive
destroyer,apanirun,apanirun,negative
tasteless,adun,àìládùn,negative
excuses,ikewo,ìkẹ́wọ́,negative
neurosis,neurosis,ààrun-ọpọlọ,negative
defect,abawọn,àbàwọ́n,negative
precipitate,rọ,mú nǹkan yára,negative
gagged,gagged,àwàdà,negative
nervous,aifọkanbalẹ,àìfọ̀kànbalẹ̀,negative
vigor,agbara,agbara,positive
torturous,onilara,ìnira,negative
downfallen,isalẹ,ìṣubú,negative
inept,aipe,àìpé,negative
stagnation,ipofo,àìtẹ́síwájù,negative
extends,gbooro sii,gbooro sii,positive
cussed,cussed,ti gégùn-ún,negative
piqued,lilu,àwọn ẹ̀dá,negative
unselfish,aláìmọtara -ẹni -nìkan,aláìmọtara -ẹni -nìkan,positive
indecorum,aiṣedeede,àìládùn,negative
wisdom,ogbon,ogbon,positive
arson,sisun,ìdánásun,negative
laggy,aisun,ìfàsẹ́yìn,negative
encyclopedia,encyclopedia,àgbájọkpọ̀ ìmọ̀,positive
felonies,odaran,ọ̀daràn,negative
menacingly,menacingly,ìhàlẹ̀,negative
torn,ya,ya,negative
shrivel,rirọ,rírọ,negative
healthful,ni ilera,ni ilera,positive
toxin,majele,májèlé,negative
awarded,fun un,gba ẹyẹ,positive
divested,divested,fidù,negative
plentiful,lọpọlọpọ,lọpọlọpọ,positive
solidity,iduroṣinṣin,iduroṣinṣin,positive
discrimination,iyasoto,ìyàsọ́tọ̀,negative
atrophy,atrophy,ìdín ẹ̀yà àrà,negative
hygienic,imototo,imototo,positive
raging,ibinu,ìbínú,negative
anti-,egboogi-,alátakò,negative
disregards,aibikita,áìbìkítà,negative
husbandry,oko -oko,iroko,positive
bulldog,bulldog,aja,positive
heckled,heckled,ṣe yẹ̀yẹ́,negative
favored,ojurere,ojurere,positive
scared,bẹru,bẹ̀rù,negative
fancinating,fancinating,nifanimọra,positive
unwanted,ti aifẹ,tí àìfẹ́,negative
exploits,exploits,ìlòkulò,negative
defending,gbeja,gbeja,positive
labyrinth,labyrinth,ìrújú,negative
sentenced,ẹjọ,ẹjọ́,negative
fucker,Eniyan arinilara,Ènìyàn aríremíre,negative
complemented,gbelese,ibuyin,positive
fond,iferan,iferan,positive
abolish,parun,parun,negative
pout,pout,títi ètè síta,negative
unexpectedly,lairotele,láìròtẹ́lẹ̀,negative
incase,bi o ba ṣẹlẹ pe,aṣeéṣe,negative
evident,kedere,kedere,positive
looses,looses,aláìmúṣinṣin,negative
bolster,ṣe atilẹyin,ṣe atilẹyin,positive
fit,dada,dada,positive
polemize,polemize,ìtakò,negative
capably,ni agbara,ni agbara,positive
existence,aye,aye,positive
mistrustful,aigbagbọ,ṣìgbàgbọ́,negative
fainting,daku,dídákú,negative
repression,ifiagbaratemole,ìfagbáratẹ̀mọ́lẹ̀,negative
alienation,iyapa,ìyapa,negative
whooa,eni,yà lẹ́nu,positive
wins,bori,bori,positive
persecution,inunibini,inúnibíni,negative
prickle,prickle,ẹ̀gún,negative
porno,iwokuwo,eré-ìbálópò,negative
unleash,tu silẹ,tú sílẹ̀,negative
manna,manna,mana,positive
detainee,atimọle,ẹlẹ́wọ̀n,negative
enrichment,idarato,idarato,positive
hopefully,nireti,nireti,positive
frolic,ṣiṣan,ṣiṣere,positive
counter-productive,counter-productive,àtakò,negative
astonishment,iyalẹnu,iyalẹnu,positive
chic,yara,dara,positive
disguise,paarọ,díbọ́n,negative
forewarned,ti kilọ,ìkìlọ̀,negative
vile,buburu,búburú,negative
unfriendly,aisore,àìrẹ́,negative
interested,nife,nife si,positive
exasperate,binu,pinlẹ́mìnín,negative
perilous,ewu,ewu,negative
nobleman,olola,olola,positive
conspicuously,ni gbangba,ni gbangba,negative
nuts,eso,èso,negative
spent,lo,ná,negative
err-free,ti ko ni aṣiṣe,ti ko ni aṣiṣe,positive
cad,kadi,oníwàkiwà,negative
malevolence,iwa ibaje,ìwà ìbàjẹ́,negative
edict,aṣẹ,ìkéde,negative
hissed,gbó,pa òṣé,negative
merit,anfani,anfani,positive
knowledge,imo,imo,positive
disconnected,ge asopọ,já,negative
mesmerizing,mesmerizing,n moriwu,positive
reason,idi,idi,positive
strategic,ilana,ilana,positive
compact,iwapọ,wapapọ,positive
gullibility,gullibility,gọ̀,negative
balk,balk,ebè,negative
rumours,agbasọ,àgbàsọ,negative
secretion,yomijade,yọ-jáde,negative
immaturity,ìbàlágà,àìbàlágà,negative
visitation,àbẹwò,àbẹ̀wò,negative
doubtful,iyemeji,iyèméjì,negative
dirtiest,idọti julọ,ìdọ̀tí jùlọ,negative
nauseates,ríru,ríru,negative
patience,s patienceru,suuru,positive
advantageous,anfani,ṣe anfani,positive
accessible,wiwọle,wiwọle,positive
prospects,asesewa,afojusọna,positive
rankle,ipo,ìríra,negative
holiday,isinmi,isinmi,positive
